
    0.8351    1.0601
    0.7884    1.0620
    0.7445    1.0647
    0.7030    1.0672
    0.6643    1.0714
    0.6268    1.0722
    0.5924    1.0767
    0.5590    1.0779
    0.5269    1.0766
    0.4931    1.0601
    0.4597    1.0358
    0.4325    1.0305
    0.4067    1.0245
    0.3862    1.0388
    0.3652    1.0439
    0.3453    1.0492
    0.3242    1.0400
    0.3045    1.0315
    0.2861    1.0234
    0.2686    1.0140
    0.2533    1.0144
    0.2392    1.0166
    0.2264    1.0236
    0.2138    1.0267
    0.2030    1.0399
    0.1929    1.0557
    0.1827    1.0645
    0.1719    1.0602
    0.1615    1.0519
    0.1521    1.0482
    0.1435    1.0496
    0.1356    1.0535
    0.1284    1.0622
    0.1215    1.0681
    0.1148    1.0725
    0.1083    1.0741
    0.1025    1.0802
    0.0965    1.0770
    0.0906    1.0669
    0.0849    1.0539
    0.0802    1.0567
    0.0760    1.0683
    0.0722    1.0826
    0.0682    1.0870
    0.0644    1.0890
    0.0606    1.0838
    0.0570    1.0789
