0+9.2353e-07i -1.1093e-14-5.684e-24i
5.3231e-07 4.7285e-14-1.0699e-23i
6.6987e-07 2.1483e-14-3.6834e-24i
14.737 2.468
14.779 2.7199
14.789 3.1899
14.828 2.2543
14.845 1.7091
14.902 5.771
14.927 4.831
14.935 4.3439
14.967 2.0364
14.984 2.3317
15.005 1.9712
15.034 2.0453
15.063 1.8191
15.114 1.7614
15.153 1.9311
15.185 2.4081
15.217 1.4585
15.246 2.3213
15.283 2.0808
15.329 3.4422
15.355 2.1233
15.38 3.7998
15.412 2.5139
15.429 3.4611
15.459 2.7928
15.508 2.1734
15.515 2.9972
15.549 2.5741
15.556 2.655
15.586 2.6033
15.615 2.3228
15.632 2.7164
15.649 2.3542
15.702 2.7331
15.706 3.8616
15.735 3.3151
15.793 2.8288
15.795 2.1156
15.84 2.9462
15.848 3.2317
15.869 4.0091
15.92 1.7714
15.947 1.6054
16.015 1.7481
16.063 1.6065
16.094 1.9358
16.104 2.3845
16.121 2.6429
16.169 2.3707
16.179 2.3437
16.211 3.2956
16.224 2.8721
16.252 2.1327
16.275 3.0528
16.299 2.6819
16.335 2.3381
16.336 3.4286
16.397 3.782
16.421 2.8523
16.468 3.3799
16.485 2.4469
16.499 2.4285
16.586 1.8058
16.615 3.1988
16.635 3.9909
16.646 3.463
16.669 3.0964
16.679 3.977
16.709 2.979
16.742 1.767
16.775 2.6027
16.81 2.1989
16.865 3.1091
16.871 2.8758
16.889 2.3127
16.927 2.4627
16.94 2.9113
16.962 3.2275
16.986 3.0429
17.044 3.6773
17.056 3.3503
17.093 2.0959
17.117 2.2884
17.129 1.7306
17.163 2.3958
17.202 2.4892
17.242 2.8108
17.258 2.2422
17.297 5.3869
17.316 3.52
17.337 5.7809
17.339 2.5603
17.379 3.2095
17.394 3.2948
17.405 2.0404
17.436 2.0323
17.491 2.3803
17.512 2.2634
17.545 2.0651
17.565 1.878
17.627 2.2851
17.67 2.6613
17.693 2.3576
17.73 2.7061
17.75 2.6729
17.775 3.376
17.802 1.9108
17.861 2.3795
17.871 2.2031
17.909 2.5888
17.93 2.7972
17.956 1.6108
18.001 2.4854
18.055 1.7382
18.069 2.5615
18.104 2.56
18.12 3.4952
18.141 3.3408
18.165 3.9553
18.181 2.8125
18.263 2.2651
18.299 3.4533
18.311 2.9368
18.344 2.7332
18.359 3.1546
18.371 3.4754
18.423 2.183
18.429 2.9133
18.464 2.9063
18.526 1.9027
18.538 2.8556
18.562 2.6558
18.6 2.1672
18.637 2.7399
18.659 2.2008
18.68 2.8341
18.714 2.7368
18.748 2.2115
18.802 1.8896
18.819 1.7776
18.834 3.0119
18.858 2.4405
18.879 2.8152
18.947 2.4362
18.95 3.3829
18.975 2.5711
19.012 2.4031
19.047 1.9441
19.099 3.1187
19.103 2.6276
19.132 2.0552
19.166 1.9542
19.199 1.4985
19.266 2.0774
19.274 2.1283
19.301 1.7955
19.319 2.1287
19.372 2.7373
19.387 2.3396
19.414 1.9932
19.439 1.2575
19.52 2.2869
19.523 2.4382
19.557 2.6772
19.571 2.5379
19.589 1.3605
19.661 1.6979
19.714 2.4189
19.746 1.6297
19.769 1.289
19.783 2.3584
19.819 2.7819
19.852 2.464
19.856 1.7415
19.919 1.8707
19.929 1.8473
19.971 1.2651
20.001 2.0842
20.048 1.7505
20.059 1.8525
20.067 2.0377
20.113 1.712
20.152 1.3571
20.186 1.817
20.208 1.3834
20.236 1.9787
20.287 1.5022
20.295 1.8877
20.334 3.6009
20.352 2.2325
20.395 2.5633
20.409 1.3168
20.475 1.4574
20.511 2.3573
20.535 1.53
20.58 2.5757
20.585 3.1352
20.611 3.8139
20.647 3.4335
20.666 3.1528
20.729 1.8684
20.774 1.6709
20.784 2.0747
20.799 2.2067
20.844 2.0221
20.88 0.99039
20.948 2.0601
20.972 2.8693
20.988 1.9062
21.013 3.0871
21.054 1.465
21.1 1.1551
21.121 1.1711
21.174 1.6749
21.187 1.5307
21.217 2.1919
21.254 2.3958
21.269 2.8127
21.311 2.1327
21.333 1.5495
21.375 2.6584
21.395 2.3073
21.404 2.6697
21.458 1.7409
21.503 1.3483
21.532 1.5868
21.581 1.7121
21.6 1.5485
21.64 1.3932
21.661 1.0492
21.728 1.4578
21.79 3.4747
21.792 2.7057
21.811 2.328
21.864 1.3326
21.929 1.5178
21.958 2.1461
21.98 1.3119
22.009 2.2588
22.041 2.8702
22.088 2.8724
22.099 1.7755
22.106 2.7213
22.188 3.6843
22.203 3.5623
22.262 0.96119
22.267 1.4253
22.299 1.2425
22.37 1.7472
22.373 1.2617
22.439 2.4768
22.466 2.1588
22.48 3.2568
22.496 3.0936
22.499 3.5706
22.536 1.9351
22.585 1.6858
22.617 0.95904
22.683 1.5899
22.699 1.0992
22.716 1.537
22.76 1.7611
22.784 1.4609
22.811 1.348
22.848 1.1497
22.902 1.3195
22.944 1.9126
22.974 1.2271
23.051 1.8572
23.1 2.1637
23.127 1.2089
23.177 1.1609
23.214 1.1584
23.273 1.0441
23.294 1.5873
23.32 2.1514
23.355 1.565
23.393 2.4676
23.417 2.666
23.428 2.8089
23.441 2.967
23.484 2.8804
23.518 1.7341
23.566 1.6995
23.609 1.2895
23.683 1.2034
23.696 1.8158
23.741 0.7394
23.801 1.5095
23.842 1.4183
23.844 1.6351
23.878 1.6098
23.893 1.7796
23.967 1.5672
24.01 1.8469
24.04 2.2915
24.055 2.0346
24.08 1.6792
24.107 2.1248
24.206 1.9398
24.21 2.0113
24.243 2.5663
24.268 2.1707
24.309 1.94
24.345 1.1786
24.4 1.0237
24.421 1.575
24.432 1.269
24.5 1.8997
24.518 1.3179
24.54 1.2785
24.582 1.2769
24.633 1.4018
24.676 1.5921
24.708 1.7693
24.729 2.5707
24.739 2.3168
24.79 1.6918
24.818 1.9186
24.85 1.4182
24.9 0.90568
24.924 1.3288
24.964 1.2496
25.04 1.2085
25.056 1.8581
25.089 1.9196
25.106 1.241
25.175 0.69934
25.244 1.1087
25.258 0.89284
25.308 1.0814
25.356 0.79271
25.377 0.86418
25.434 1.6849
25.472 2.3518
25.514 0.91383
25.542 0.84949
25.589 0.89289
25.619 1.1374
25.652 0.59812
25.685 0.83569
25.744 0.80888
25.778 0.912
25.814 1.3668
25.838 1.7005
25.876 1.1396
25.919 2.4395
25.941 1.8242
25.985 1.0086
26.023 1.0404
26.03 1.2703
26.098 1.3463
26.109 1.3599
26.176 0.38861
26.262 0.38435
26.291 0.55578
26.344 0.81085
26.403 0.86614
26.439 0.86944
26.475 0.63546
26.523 0.65891
26.598 0.52797
26.659 0.46363
26.716 0.44241
26.774 0.60786
26.8 1.297
26.831 1.2455
26.873 0.78231
26.935 0.74823
26.966 1.0473
27.027 1.0127
27.051 1.1027
27.146 0.59007
27.206 0.45116
27.251 0.48974
27.342 0.63902
27.371 0.83126
27.405 1.0453
27.435 0.94661
27.499 0.50674
27.572 0.58241
27.621 0.3376
27.782 0.52527
27.823 0.58469
27.846 0.50361
27.937 0.77568
27.965 0.8189
28.035 0.50967
28.082 0.40769
28.183 0.514
28.194 0.45638
28.269 0.51857
28.3 0.52763
28.337 0.53153
28.411 0.31951
28.468 0.59265
28.501 0.47268
28.611 0.14703
28.698 0.12405
28.783 0.20165
28.935 0.43071
28.983 0.44869
29.051 0.22865
29.169 0.17914
29.383 0.22304
29.409 0.22108
29.615 0.60039
29.63 0.56268
29.741 0.21507
29.796 0.14146
29.883 0.31233
29.931 0.45219
29.992 0.27671
30.129 0.12478
30.388 0.053877
30.444 0.13446
30.761 0.37204
30.816 0.30946
30.915 0.10219
31.021 0.54265
31.045 0.52705
31.259 0.14331
31.349 0.051868
31.497 0.076566
31.607 0.055577
31.691 0.050128
32.074 0.013113
32.789 0.024059
33.279 0.00683
33.443 0.015219
34.857 0
