21.945+1.183i	0	0	-5.6698+0.00043842i	0	0	-5.6698+0.00043842i	0	0	-8.431-1.2755e-016i	0	0
0	21.945+1.183i	0	0	-5.6698+0.00043842i	0	0	-5.6698+0.00043842i	0	0	-8.431-1.2755e-016i	0
0	0	21.945+1.183i	0	0	-5.6698+0.00043842i	0	0	-5.6698+0.00043842i	0	0	-8.431-1.2755e-016i
-5.6698+0.00043842i	0	0	-404.13-433.36i	-419.55-453.27i	-1.4226-1.5535i	200.49+2.8387i	208.92+1.0203e-015i	-0.0012372+2.0704e-017i	143.32-144.45i	148.99+0.00043698i	-0.0012672+4.1351e-005i
0	-5.6698+0.00043842i	0	-419.55-448.26i	-404.13-438.37i	-1.4226-1.5535i	208.92+2.8387i	200.49+6.9237e-016i	-0.0012372+2.0704e-017i	148.99-144.45i	143.32-1.4384e-006i	-0.0012672+4.1351e-005i
0	0	-5.6698+0.00043842i	0	0	15.421+14.899i	0	0	-8.431-3.3097e-016i	0	0	-5.6698-0.00043842i
-5.6698+0.00043842i	0	0	200.49+2.8387i	208.92+2.8387i	0	-404.13-433.36i	0.0045162+0.0049316i	-420.98-454.83i	143.32-144.45i	-0.0012672+4.1351e-005i	148.99+0.00043698i
0	-5.6698+0.00043842i	0	208.92+1.0203e-015i	200.49+6.9237e-016i	0	0	15.421+14.899i	0	0	-5.6698-0.00043842i	0
0	0	-5.6698+0.00043842i	-0.0012372+2.0704e-017i	-0.0012372+2.0704e-017i	-8.431-3.3097e-016i	-419.55-448.26i	0.0045162+0.0049316i	-405.56-439.93i	148.99-144.45i	-0.0012672+4.1351e-005i	143.32-1.4384e-006i
-8.431-1.2755e-016i	0	0	143.32-144.45i	148.99-144.45i	0	143.32-144.45i	0	148.99-144.45i	21.945+1.183i	0	0
0	-8.431-1.2755e-016i	0	148.99+0.00043698i	143.32-1.4384e-006i	0	-0.0012672+4.1351e-005i	-5.6698-0.00043842i	-0.0012672+4.1351e-005i	0.0066756+5.0081i	-596.08-34.808i	-620.13-36.115i
0	0	-8.431-1.2755e-016i	-0.0012672+4.1351e-005i	-0.0012672+4.1351e-005i	-5.6698-0.00043842i	148.99+0.00043698i	0	143.32-1.4384e-006i	0.0066756+5.0081i	-618.02-35.991i	-598.19-34.932i
