S	8.50053	4.84922	4.25098
S	3.11376	2.16355	5.67947
S	0.00949782	5.76032	2.59973
S	5.06418	2.20975	9.67461
S	9.81669	1.58273	3.61357
S	2.97232	0.213345	8.54521
S	9.40016	6.73887	6.85985
S	2.52487	2.28235	7.84082
S	2.60846	8.0607	4.38077
S	5.85314	11.2388	2.16577
S	8.93149	9.31806	2.09406
S	2.45394	1.08224	2.27309
O	2.87341	0.311959	9.70312
O	2.02702	11.2672	4.44976
O	9.87424	3.67238	1.20436
O	4.19941	2.54115	5.76308
O	9.11919	6.82108	0.651313
O	2.69331	4.38293	2.08258
O	3.2044	5.11655	0.506756
O	2.85472	1.09959	3.35776
O	7.63425	2.53218	3.4924
O	0.0873467	11.2808	2.26325
O	6.11946	1.74043	2.94384
O	3.09802	1.09629	5.23414
O	1.28442	6.83572	9.54271
O	1.08328	10.5408	0.910027
O	4.50709	9.0822	8.55536
O	8.9123	9.60761	6.02215
O	0.316452	1.54133	5.85003
O	4.97156	5.96483	6.32936
O	4.45388	10.1248	10.0963
O	8.17309	3.3834	1.82415
O	6.77792	0.223925	1.6768
O	5.84262	2.36457	10.5159
O	0.555341	11.3257	10.7846
O	6.22108	5.07085	10.5958
S	10.7825	10.7416	8.19427
S	2.62881	6.90842	7.78741
S	7.4677	0.236716	6.67654
S	6.81489	9.21981	1.93888
S	10.9392	4.04526	1.40937
S	4.4343	1.32467	1.43829
S	4.9383	3.20153	5.16922
S	1.09202	10.7755	2.04063
S	6.87712	5.04982	7.8041
S	2.62167	5.90664	4.65773
S	2.96142	0.427546	4.29887
S	1.36067	10.7296	7.22867
O	4.09401	10.1253	2.48997
O	6.89928	1.62037	0.4559
O	0.899419	3.53427	5.14115
O	10.0553	9.56456	4.58086
O	4.39083	3.15935	9.58525
O	5.45252	11.1638	3.25079
O	0.0664033	6.05245	10.6762
O	9.22015	6.58365	2.45422
O	9.01594	5.87037	4.07081
O	2.57051	2.29315	6.69031
O	8.58741	10.737	4.54977
O	6.75391	6.14983	3.23743
O	2.50845	5.08293	3.86852
O	9.10535	4.39153	5.09375
O	5.60369	5.71038	4.61681
O	5.49383	8.90727	7.03357
O	6.94006	9.18316	0.785458
O	9.44597	6.19108	7.88136
O	3.70246	5.86454	5.03821
O	1.06054	5.29126	2.79885
O	7.41133	1.64838	8.58911
O	3.0389	3.15554	8.3795
O	6.23604	8.33942	2.37727
O	6.10301	10.1199	2.0357
S	0.368483	4.99256	11.0431
S	9.80563	4.78281	5.90239
S	0.399832	2.08226	8.68051
S	8.7584	3.99561	1.05366
S	9.59934	0.486545	6.73774
