0	99.6938	0.0425714	0.463574	-0.421003	7.7	8.32667e-16	3.44169e-15	-3.33067e-16	315.247	-998.186	-682.939
100	97.0595	-0.0551608	0.45044	-0.505601	7.7	1.4766e-14	1.32117e-14	-4.69069e-15	306.917	-1004	-697.086
200	104.833	-0.0290521	0.484794	-0.513846	7.7	2.36478e-14	-1.55431e-15	4.55191e-15	331.498	-1008.91	-677.414
300	101.339	0.0414269	0.470565	-0.429138	7.7	2.33147e-14	2.9976e-15	1.9984e-15	320.451	-1003.58	-683.128
400	99.6829	-0.203423	0.462851	-0.666274	7.7	1.37668e-14	-1.05471e-14	-7.32747e-15	315.213	-1023.91	-708.701
500	106.641	0.353262	0.495556	-0.142294	7.7	6.43929e-15	-1.67852e-14	-1.69864e-14	337.216	-992.114	-654.898
600	98.7701	-0.196454	0.460308	-0.656763	7.7	-2.10942e-14	-1.9984e-15	-8.43769e-15	312.326	-1016.22	-703.896
700	96.6296	-0.0402234	0.449381	-0.489604	7.7	-3.01981e-14	8.21565e-15	1.53211e-14	305.557	-1001.82	-696.265
800	98.0044	0.0558052	0.455266	-0.399461	7.7	-4.24105e-14	4.44089e-15	3.12528e-14	309.905	-1006.18	-696.27
900	97.2816	0.0297847	0.448647	-0.418862	7.7	-4.61853e-14	1.05471e-14	4.59632e-14	307.619	-995.562	-687.943
1000	101.373	0.117248	0.470621	-0.353373	7.7	-4.13003e-14	2.44249e-14	3.33067e-14	320.556	-993.588	-673.032
1100	102.431	-0.192549	0.473453	-0.666002	7.7	-6.06182e-14	2.43139e-14	4.19942e-14	323.904	-1010.57	-686.661
1200	101.99	-0.0646356	0.474716	-0.539352	7.7	-8.30447e-14	7.43849e-15	4.37428e-14	322.507	-994.982	-672.475
1300	89.967	-0.0914395	0.417591	-0.50903	7.7	-5.70655e-14	4.44089e-15	3.34177e-14	284.49	-983.313	-698.824
1400	88.5105	-0.0481717	0.410973	-0.459145	7.7	-5.92859e-14	2.88658e-15	5.16254e-14	279.884	-974.315	-694.431
1500	94.1446	-0.146863	0.439282	-0.586145	7.7	-6.68354e-14	2.7367e-14	4.06342e-14	297.7	-973.121	-675.421
1600	107.219	-0.0327333	0.496538	-0.529271	7.7	-8.41549e-14	3.81917e-14	2.02061e-14	339.043	-973.411	-634.367
1700	109.477	-0.238836	0.510164	-0.749001	7.7	-7.92699e-14	3.15303e-14	3.60822e-14	346.183	-985.248	-639.065
1800	102.647	0.0739632	0.476381	-0.402418	7.7	-6.89448e-14	3.21965e-14	3.29736e-14	324.586	-975.998	-651.413
1900	99.9776	0.038534	0.462878	-0.424345	7.7	-5.57887e-14	1.86517e-14	2.04836e-14	316.145	-986.888	-670.743
2000	92.9541	-0.154698	0.430342	-0.58504	7.7	-4.17999e-14	1.15463e-14	3.13083e-14	293.935	-1003.34	-709.402
2100	92.6539	-0.243061	0.431288	-0.674348	7.7	-4.19909e-14	1.49325e-14	6.63913e-14	292.986	-1004.61	-711.622
2200	101.946	-0.0367123	0.476053	-0.512766	7.7	-2.12677e-14	1.94844e-14	6.59472e-14	322.37	-991.771	-669.402
2300	102.796	0.139915	0.476134	-0.33622	7.7	-2.81997e-14	7.43849e-15	3.73868e-14	325.056	-973.825	-648.769
2400	106.944	0.0376326	0.494959	-0.457327	7.7	-3.73035e-14	-2.9976e-15	4.97311e-14	338.175	-987.723	-649.548
2500	107.419	-0.127659	0.497929	-0.625587	7.7	-4.08562e-14	7.21645e-15	6.52811e-14	339.676	-985.695	-646.018
2600	104.756	-0.434008	0.485904	-0.919912	7.7	-4.61853e-14	-4.64906e-15	6.47815e-14	331.254	-1007.93	-676.671
2700	106.725	0.301215	0.496179	-0.194964	7.7	-7.81597e-14	-2.92821e-15	5.77316e-14	337.481	-969.026	-631.545
2800	101.674	0.173098	0.469895	-0.296797	7.7	-3.55826e-14	-2.44249e-14	6.60999e-14	321.508	-980.934	-659.426
2900	97.5225	-0.0668291	0.451007	-0.517836	7.7	-3.24185e-14	5.77316e-15	5.35127e-14	308.381	-999.535	-691.154
3000	95.8874	-0.262532	0.44579	-0.708322	7.7	-4.07868e-14	-7.32747e-15	6.43929e-14	303.211	-1005.07	-701.863
3100	108.36	-0.170816	0.503688	-0.674504	7.7	-2.68674e-14	4.44089e-15	5.4623e-14	342.65	-1004.19	-661.541
3200	100.462	0.165294	0.468312	-0.303018	7.7	-1.84297e-14	1.59872e-14	6.18949e-14	317.675	-985.812	-668.137
3300	95.6025	0.0606648	0.443079	-0.382414	7.7	-6.88338e-15	7.77156e-15	7.8354e-14	302.31	-990.784	-688.474
3400	95.1029	-0.0613173	0.441146	-0.502463	7.7	-1.19765e-14	-5.9952e-15	6.51146e-14	300.73	-988.601	-687.871
3500	100.815	-0.119765	0.468253	-0.588018	7.7	-5.66214e-15	-3.44169e-15	7.82707e-14	318.791	-999.912	-681.121
3600	112.431	0.0776918	0.520595	-0.442903	7.7	-6.87644e-15	-1.86517e-14	1.05915e-13	355.524	-1004.48	-648.956
3700	104.429	-0.117934	0.483319	-0.601254	7.7	1.47105e-14	-5.2458e-15	1.08802e-13	330.221	-1009.31	-679.084
3800	100.116	-0.381063	0.463554	-0.844617	7.7	2.32626e-14	-2.66454e-15	8.88178e-14	316.583	-1019.19	-702.605
3900	97.9637	0.0618728	0.454416	-0.392543	7.7	7.77156e-15	-9.10383e-15	1.07914e-13	309.776	-986.132	-676.356
4000	94.5668	-0.271328	0.438034	-0.709363	7.7	1.22402e-14	-1.1241e-15	1.15907e-13	299.035	-1007.19	-708.158
